# bench summary (D-0055): n / median / IQR / min / max; warmup excluded
qemu_version=QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2)
qemu_hash=89a99b20357ac92b2c6a533fe79d6fab6b507784858299f7109651f2d524d274
git_sha=35861f30861844e50b4d50a87e67cc96844a14ef dirty=0
host_kernel=7.0.0-29-generic
cpu_model=AMD Ryzen 7 7800X3D 8-Core Processor
governor=performance smt_control=off cpufreq_boost=0 virt=none steal_start_ticks=0 loadavg_1m=0.66
client_granularity_ns=1000092
shuffle_seed=1786939992244069771
stamp_overhead_ns=5500 (floor max(that, 100 ns); not a stability metric)

## whimbrel release-default batch=20260817T041311Z-1 n_recorded=30
metric                                  n         median            IQR            min            max
phase_syn_rx_delta_ns                  30         284100           6875         274600         298600
phase_syn_rx_since_e2_ns               30       14241550         206050       14136200       14561000
phase_task_init_delta_ns               30         588900           6050         581100         599900
phase_task_init_since_e2_ns            30        8105250         121375        7996600        8419400
phase_virtq_init_delta_ns              30         851400           8000         834800         875000
phase_virtq_init_since_e2_ns           30       13099050         186950       12986700       13391500

## whimbrel release-default batch=20260817T041311Z-2 n_recorded=30
metric                                  n         median            IQR            min            max
e0_to_e3w_ns                           30       39446522         432320       39032123       41137476
e0_to_e4_ns                            30      140628428        1086304      139614585      142494733
e0_to_first_connect_ns                 30       18705290         184486       18465601       19069654
e2_to_e3g_ns                           30       94913050        1297875       93878300       96836900
phase_DRIVER_OK_delta_ns               30        6274150         102700        6203300        6448000
phase_DRIVER_OK_since_e2_ns            30       68945950        1182950       68412000       70116000
phase_E3g_delta_ns                     30        1945600         146225        1899100        2136400
phase_E3g_doorbell_delta_ns            30         388800          10100         375200         402100
phase_E3g_doorbell_since_e2_ns         30       95295000        1293900       94265600       97227300
phase_E3g_since_e2_ns                  30       94913050        1297875       93878300       96836900
phase__start_delta_ns                  30              0              0              0              0
phase__start_since_e2_ns               30              0              0              0              0
phase_accounting_delta_ns              30        6935950          95875        6878300        7813500
phase_accounting_since_e2_ns           30       87746100        1206875       86762700       89173900
phase_activate_delta_ns                30         300100           9425         293500         307900
